Rank,Name,Revenues,Profits,Assets,Employees,Total stockholders' equity,Total return to investors: 1 yr. annual rate (%),Total return to investors: 5 yr. annual rate (%),Total return to investors: 10 yr. annual rate (%),EPS (2012$),EPS 1 yr,EPS 5 yr,EPS 10 yr,ProfitRevenue %,ProfitAssets %,ProfitStockholder'sEquity %,State,Industry
1,Wal-Mart Stores,"469,162","16,999","203,105","2,200,000","76,343",17.6,10,4.9,5.02,11.1,9.9,10.7,3.6,8.4,22.3,AR,General Merchandisers
2,Exxon Mobil,"449,886","44,880","333,795","88,000","165,863",4.7,0.8,12,9.7,15.2,5.9,19.2,10,13.4,27.1,TX,Petroleum Refining
3,Chevron,"233,899","26,179","232,982","62,000","136,524",5,6.5,16.3,13.32,-0.9,8.7,37.9,11.2,11.2,19.2,CA,Petroleum Refining
4,Phillips 66,"169,551","4,124","48,073","13,500","20,775",N.A.,0,N.A.,6.48,N.A.,N.A.,N.A.,2.4,8.6,19.9,TX,Petroleum Refining
5,Berkshire Hathaway,"162,463","14,824","427,452","288,500","187,647",16.8,-1.1,6.3,"8,977",44.4,1,12.4,9.1,3.5,7.9,NE,Insurance: Property and Casualty (Stock)
6,Apple,"156,508","41,733","176,064","76,100","118,210",32.6,22.1,54,44.15,59.5,62.2,85.8,26.7,23.7,35.3,CA,"Computers, Office Equipment"
7,General Motors,"152,256","6,188","149,422","213,000","36,244",42.2,0,N.A.,2.92,-36.2,N.A.,N.A.,4.1,4.1,17.1,MI,Motor Vehicles and Parts
8,General Electric,"146,874","13,641","685,328","305,000","123,026",21.2,-7.1,1.9,1.29,4.9,-9.9,-0.9,9.3,2,11.1,CT,Diversified Financials
9,Valero Energy,"138,286","2,083","44,477","21,671","18,032",65.8,-11.7,15.5,3.75,1.9,-15.8,33.6,1.5,4.7,11.6,TX,Petroleum Refining
10,Ford Motor,"134,252","5,665","190,554","171,000","15,947",22.6,14.4,5,1.42,-71.3,N.A.,N.A.,4.2,3,35.5,MI,Motor Vehicles and Parts
11,AT&T;,"127,434","7,264","272,315","241,810","92,362",17.4,1.5,7.3,1.25,89.4,-8.4,-3,5.7,2.7,7.9,TX,Telecommunications
12,Fannie Mae,"127,230","17,220","3,222,422","7,200","7,183",26.7,-63.4,-41.5,0.24,N.A.,N.A.,-25.5,13.5,0.5,239.7,DC,Diversified Financials
13,CVS Caremark,"123,133","3,876.9","65,912","164,500","37,704",20.3,5.2,15.5,3.03,17.9,9.6,13.2,3.1,5.9,10.3,RI,Food and Drug Stores
14,McKesson,"122,734","1,403","33,093","37,700","6,831",25.6,9.2,14.5,5.59,22.3,13.3,14.6,1.1,4.2,20.5,CA,Wholesalers: Health Care
15,Hewlett-Packard,"120,357","-12,650","108,768","331,800","22,436",-43.3,-21.4,-0.8,-6.41,-293.1,N.A.,N.A.,-10.5,-11.6,-56.4,CA,"Computers, Office Equipment"
16,Verizon Communications,"115,846",875,"225,222","183,400","33,157",13.1,6.9,7.4,0.31,-63.5,-30.4,-14.5,0.8,0.4,2.6,NY,Telecommunications
17,UnitedHealth Group,"110,618","5,526","80,885","133,000","31,178",8.5,-0.6,10.5,5.28,11.6,9.1,17.4,5,6.8,17.7,MN,Health Care: Insurance and Managed Care
18,J.P. Morgan Chase & Co.,"108,184","21,284","2,359,141","258,965","204,069",36.1,2.3,9.3,5.2,16.1,3.5,20.6,19.7,0.9,10.4,NY,Commercial Banks
19,Cardinal Health,"107,552","1,069","24,260","32,500","6,244",3.6,1.7,0.8,3.06,12.5,-8.5,2.9,1,4.4,17.1,OH,Wholesalers: Health Care
20,International Business Machines,"104,507","16,604","119,213","466,995","18,860",5.9,14.2,11,14.37,10,14.9,21.4,15.9,13.9,88,NY,Information Technology Services
21,Bank of America Corp.,"100,078","4,188","2,209,974","267,190","236,956",109.7,-20.9,-7.6,0.25,"2,400",-40.3,-21.9,4.2,0.2,1.8,NC,Commercial Banks
22,Costco Wholesale,"99,137","1,709","27,140","135,000","12,361",28.3,10,15.3,3.89,17.9,10.4,10.1,1.7,6.3,13.8,WA,Specialty Retailers: Other
23,Kroger,"96,751.3","1,496.5","24,651.5","343,000","4,207",9.7,1.2,6.5,2.77,174.3,10.4,6.2,1.5,6.1,35.6,OH,Food and Drug Stores
24,Express Scripts Holding,"94,416.7","1,312.9","58,111.2","30,215","23,385",20.8,8.1,24.6,1.76,-30.4,10.4,18.6,1.4,2.3,5.6,MO,Health Care: Pharmacy and Other Services
25,Wells Fargo,"91,247","18,897","1,422,968","269,200","157,554",27.4,5.3,7,3.36,19.1,7.1,7.8,20.7,1.3,12,CA,Commercial Banks
26,Citigroup,"90,769","7,541","1,864,660","259,000","189,049",50.6,-32,-17.5,2.44,-32.8,-19.5,-22,8.3,0.4,4,NY,Commercial Banks
27,Archer Daniels Midland,"89,038","1,223","41,553","30,000","17,969",-1.9,-8.2,10.2,1.84,-41.2,-11,9,1.4,2.9,6.8,IL,Food Production
28,Procter & Gamble,"85,120","10,756","132,244","126,000","63,439",5.3,1.5,7.3,3.66,-6.9,3.8,9,12.6,8.1,17,OH,Household and Personal Products
29,Prudential Financial,"84,838",469,"709,298","48,498","38,575",9.7,-8.5,7.1,N.A.,N.A.,N.A.,N.A.,0.6,0.1,1.2,NJ,"Insurance: Life, Health (Stock)"
30,Boeing,"81,698","3,900","88,896","174,400","5,867",5.3,-0.2,11,5.11,-4.3,-0.7,23.7,4.8,4.4,66.5,IL,Aerospace and Defense
31,Freddie Mac,"80,635","10,982","1,989,856","4,989","8,827",24.1,-62,-40.9,-0.64,N.A.,N.A.,N.A.,13.6,0.6,124.4,VA,Diversified Financials
32,AmerisourceBergen,"79,720.5",719,"15,444.1","13,950","2,456.7",17.9,15.3,13.4,2.8,10.2,17.5,13.5,0.9,4.7,29.3,PA,Wholesalers: Health Care
33,Marathon Petroleum,"76,783","3,389","27,223","25,985","11,694",94,0,N.A.,9.89,48.3,N.A.,N.A.,4.4,12.4,29,OH,Petroleum Refining
34,Home Depot,"74,754","4,535","41,084","340,000","17,777",50.2,21.6,12.3,3,21.5,4.8,6.8,6.1,11,25.5,GA,Specialty Retailers: Other
35,Microsoft,"73,723","16,978","121,271","94,000","66,363",5.8,-3.4,3.1,2,-25.7,7.1,11,23,14,25.6,WA,Computer Software
36,Target,"73,301","2,999","48,163","361,000","16,558",18,5.3,8.4,4.52,5.6,6.3,9.6,4.1,6.2,18.1,MN,General Merchandisers
37,Walgreen,"71,633","2,127","33,462","205,500","18,236",15.2,1.4,3.7,2.42,-17.7,3.6,9.3,3,6.4,11.7,IL,Food and Drug Stores
38,American International Group,"70,143","3,438","548,633","63,000","98,002",52.2,-47.8,-27.4,2.04,-78.4,-46.8,-26.5,4.9,0.6,3.5,NY,Insurance: Property and Casualty (Stock)
39,INTL FCStone,"69,260.6",15,"2,958.9","1,074",319.1,-26.1,-8.4,25.8,0.75,-61.7,N.A.,N.A.,0,0.5,4.7,NY,Diversified Financials
40,MetLife,"68,224","1,324","836,781","64,000","64,453",8.1,-9.8,3.6,1.12,-82.2,-27.2,-6.5,1.9,0.2,2.1,NY,"Insurance: Life, Health (Stock)"
41,Johnson & Johnson,"67,224","10,853","121,347","127,600","64,826",10.8,4.4,5.5,3.86,10.6,1.2,6,16.1,8.9,16.7,NJ,Pharmaceuticals
42,Caterpillar,"65,875","5,681","89,356","125,341","17,532",1.6,7.3,17.4,8.48,14.6,9.6,22.1,8.6,6.4,32.4,IL,Construction and Farm Machinery
43,PepsiCo,"65,492","6,178","74,638","278,000","22,294",6.3,0.8,7.4,3.92,-2.7,2.8,7.8,9.4,8.3,27.7,NY,Food Consumer Products
44,State Farm Insurance Cos.,"65,285.7","3,159.2","205,955.1","68,010","65,374.9",N.A.,0,N.A.,N.A.,N.A.,N.A.,N.A.,4.8,1.5,4.8,IL,Insurance: Property and Casualty (Mutual)
45,ConocoPhillips,"63,373","8,428","117,144","16,900","47,987",8.3,0.7,15.5,6.72,-25.1,-1.4,N.A.,13.3,7.2,17.6,TX,"Mining, Crude-Oil Production"
46,Comcast,"62,570","6,203","164,971","129,000","49,356",60.7,17.4,9.9,2.28,52,22.4,N.A.,9.9,3.8,12.6,PA,Telecommunications
47,WellPoint,"61,711.7","2,655.5","58,955.4","43,500","23,802.7",-6.4,-6.4,7.2,8.18,12.8,8,13.8,4.3,4.5,11.2,IN,Health Care: Insurance and Managed Care
48,Pfizer,"61,244","14,570","185,798","91,500","81,260",20.4,7.1,2,1.94,52.8,10.6,2.9,23.8,7.8,17.9,NY,Pharmaceuticals
