URL,Guide Name,Average Rating,Number of Ratings,Unique Visitors,Current Subscribers,Current Favorites,Number of Comments
http://steamcommunity.com/sharedfiles/filedetails/?id=434659379,6.85 - Standard Windranger (Middle) Build,5,24859 ,6280,147159,73,34 
http://steamcommunity.com/sharedfiles/filedetails/?id=391458050,6.85 - Standard Winter Wyvern (Lane) Build,5,146222 ,71874,684747,191,187 
http://steamcommunity.com/sharedfiles/filedetails/?id=381725812,6.85 - Standard Lina (Middle) Build,5,96576 ,4022,477673,77,11 
http://steamcommunity.com/sharedfiles/filedetails/?id=359580647,6.85 - Standard Brewmaster (Middle) Build,5,9136 ,1918,66776,21,11 
http://steamcommunity.com/sharedfiles/filedetails/?id=356791078,6.85 - Standard Alchemist (Middle) Build,5,1862 ,1840,18516,23,1 
http://steamcommunity.com/sharedfiles/filedetails/?id=344512092,6.85 - Standard Oracle (Middle) Build,5,41172 ,27187,238617,53,71 
http://steamcommunity.com/sharedfiles/filedetails/?id=344511398,6.85 - Standard Oracle (Lane) Build,5,153671 ,176808,689729,396,608 
http://steamcommunity.com/sharedfiles/filedetails/?id=334021836,6.85 - Standard Silencer (Middle) Build,5,52156 ,2326,293815,37,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=330545830,6.85 - Standard Troll Warlord (Middle) Build,5,72606 ,3363,351743,52,9 
http://steamcommunity.com/sharedfiles/filedetails/?id=319111870,6.85 - Standard Earth Spirit (Lane) Build,4,95774 ,4950,547614,53,12 
http://steamcommunity.com/sharedfiles/filedetails/?id=319109248,6.85 - Standard Sniper (Middle) Build,5,97326 ,5098,439269,75,17 
http://steamcommunity.com/sharedfiles/filedetails/?id=319106719,6.85 - Standard Gyrocopter (Middle) Build,5,61858 ,2405,337802,42,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=319101948,6.85 - Standard Warlock (Middle) Build,5,276 ,1470,1452,21,7 
http://steamcommunity.com/sharedfiles/filedetails/?id=319092835,6.85 - Standard Bloodseeker (Lane) Build,5,121277 ,3032,563648,73,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=319092788,6.85 - Standard Bloodseeker (Jungle) Build,5,59434 ,4306,289913,55,1 
