resturl,title,latitude,longitude,rating,reviewCount,categories,photos,URL,neighborhood,menu,reservable,yelpDelivery,slides,sponsor,claim,eliteReviews,transit,hours,attire,creditCards,parking,price,groups,kids,reservations,deal,delivery,takeout,service,outdoorSeating,wifi,meals,bestNights,happyHour,alcohol,smoking,coatCheck,noise,goodForDancing,ambience,tv,caters,wheelchairAccessible
http://www.yelp.com/biz/pylos-new-york,Pylos,40.7260964,-73.9841525,4.5,596,Greek,Has photos,pylosrestaurant.com,"['East Village', 'Alphabet City']",Has menu,None,None,None,None,None,Has Elites,"2 Ave. (F)
1 Ave. (L)
Astor Pl (4, 6, 6X)","Mon-Thu, Sun 5 pm - 12 am
Wed-Sun 11:30 am - 4 pm
Fri-Sat 5 pm - 1 am",Casual,Yes,Street,$$$,Yes,No,Yes,None,No,Yes,Yes,No,No,Dinner,None,None,Beer & Wine Only,None,None,Average,None,Romantic,No,No,Yes
http://www.yelp.com/biz/apiary-new-york,Apiary,40.731157,-73.988902,4.0,441,"American (New), Italian",Has photos,apiarynyc.com,['East Village'],Has menu,Reservable,None,None,None,None,Has Elites,"Astor Pl (4, 6, 6X)
3 Ave. (L)
8 St. - Nyu (N, R)","Mon-Thu, Sun 5:30 pm - 10 pm
Fri-Sat 5:30 pm - 11 pm",Casual,Yes,Street,$$$,Yes,No,Yes,None,No,No,Yes,No,No,Dinner,None,None,Full Bar,None,None,Average,None,Classy,No,No,Yes
http://www.yelp.com/biz/malai-marke-new-york,Malai Marke,40.726934,-73.98758,4.0,149,Indian,Has photos,malaimarke.com,['East Village'],Has menu,Reservable,Delivery system,None,None,None,Has Elites,"2 Ave. (F)
Astor Pl (4, 6, 6X)
8 St. - Nyu (N, R)",None,Casual,Yes,Street,$$,Yes,Yes,Yes,Has deal,Yes,Yes,Yes,No,No,"Lunch, Dinner",None,None,Beer & Wine Only,None,None,Average,None,Casual,No,Yes,None
http://www.yelp.com/biz/26-seats-new-york,26 Seats,40.7272346,-73.9798035,4.0,153,French,Has photos,26seatsbistro.com,"['East Village', 'Alphabet City']",Has menu,None,None,None,None,None,Has Elites,1 Ave. (L),"Tue-Wed 4:30 pm - 11 pm
Thu-Sun 4:30 pm - 12 am",Casual,Yes,Street,$$,No,No,Yes,None,No,Yes,Yes,Yes,No,Dinner,None,None,Beer & Wine Only,None,None,Quiet,None,"Intimate, Romantic",No,No,No
http://www.yelp.com/biz/supper-restaurant-new-york,Supper Restaurant,40.7229268,-73.9851978,4.0,595,Italian,Has photos,supperrestaurant.com,"['East Village', 'Alphabet City']",Has menu,Reservable,Delivery system,None,None,None,Has Elites,"2 Ave. (F)
Delancey St. (F)
Essex St. (J, M, Z)","Mon-Fri 5 pm - 12 am
Sat-Sun 11 am - 12 am",Casual,No,Street,$$,Yes,No,No,Has deal,Yes,Yes,Yes,Yes,No,Dinner,None,None,Full Bar,None,None,Average,None,"Casual, Intimate, Romantic",No,No,No
http://www.yelp.com/biz/yerba-buena-new-york,Yerba Buena,40.722951,-73.986078,4.0,461,Latin American,Has photos,yerbabuenanyc.com,"['East Village', 'Alphabet City']",Has menu,Reservable,None,None,None,None,Has Elites,"2 Ave. (F)
Delancey St. (F)
Essex St. (J, M, Z)","Mon 9 am - 5 pm
Mon-Thu 5 pm - 11 pm
Fri 5 pm - 1 am
Sat 12 pm - 1 am
Sun 12 pm - 10 pm",Casual,Yes,Street,$$$,Yes,No,Yes,None,No,Yes,Yes,No,Free,Dinner,None,None,Full Bar,None,None,Average,None,"Trendy, Intimate, Romantic",No,Yes,Yes
http://www.yelp.com/biz/giano-restaurant-new-york,Giano Restaurant,40.7262256597,-73.9840574049,4.0,229,Italian,Has photos,gianonyc.com,"['East Village', 'Alphabet City']",Has menu,Reservable,Delivery system,None,None,None,Has Elites,"1 Ave. (L)
2 Ave. (F)
Astor Pl (4, 6, 6X)","Tue-Thu, Sun 5:30 pm - 11 pm
Fri-Sat 5:30 pm - 11:30 pm",Casual,Yes,Street,$$,Yes,No,Yes,Has deal,Yes,Yes,Yes,Yes,No,Dinner,None,None,Beer & Wine Only,None,None,Average,None,Romantic,No,Yes,Yes
http://www.yelp.com/biz/momofuku-ssam-bar-new-york-3,Momofuku Ssam Bar,40.73169,-73.985846,4.0,1519,"Korean, American (New)",Has photos,momofuku.com,['East Village'],Has menu,None,None,None,None,None,Has Elites,"3 Ave. (L)
1 Ave. (L)
Astor Pl (4, 6, 6X)","Mon-Sun 11:30 am - 3:30 pm
Mon-Thu, Sun 5 pm - 12 am
Fri-Sat 5 pm - 1 am",Casual,Yes,Street,$$$,Yes,No,No,None,No,Yes,Yes,No,No,Dinner,None,None,Full Bar,None,None,Average,None,Trendy,No,No,Yes
http://www.yelp.com/biz/maharlika-new-york,Maharlika,40.726948,-73.98612,4.0,539,Filipino,Has photos,maharlikanyc.com,['East Village'],Has menu,None,None,None,None,None,Has Elites,"2 Ave. (F)
Astor Pl (4, 6, 6X)
1 Ave. (L)","Mon-Sun 11 am - 3:30 pm
Mon-Thu 5 pm - 10:30 pm
Fri 5 pm - 11:30 pm
Sat 6 pm - 11:30 pm
Sun 6 pm - 9:30 pm",Casual,Yes,Street,$$,Yes,No,Yes,None,No,Yes,Yes,No,No,Dinner,None,None,Full Bar,None,None,Average,None,"Casual, Trendy",No,Yes,Yes
http://www.yelp.com/biz/caracas-arepa-bar-new-york,Caracas Arepa Bar,40.7268974154,-73.9851786679,4.0,1832,Venezuelan,Has photos,caracasarepabar.com,['East Village'],Has menu,None,None,Has slides,Sponsors,None,Has Elites,"1 Ave. (L)
2 Ave. (F)
Astor Pl (4, 6, 6X)",Mon-Sun 12 pm - 11 pm,Casual,Yes,Street,$$,No,No,No,None,No,Yes,Yes,No,No,"Lunch, Dinner",None,None,Beer & Wine Only,None,None,Average,None,Casual,No,Yes,No
